game,steps,loss,exploration,reward
1,174,,1.0,2466
2,217,,1.0,4330
3,197,,1.0,2788
4,174,,1.0,3245
5,229,,1.0,4072
6,285,,1.0,7127
7,206,,1.0,5372
8,157,,1.0,2036
9,159,,1.0,3348
10,166,,1.0,1043
11,170,,1.0,1854
12,211,,1.0,4183
13,200,,1.0,2567
14,226,,1.0,3866
15,198,,1.0,4779
16,164,,1.0,4523
17,234,,1.0,3182
18,158,,1.0,4277
19,225,,1.0,5056
20,176,,1.0,4144
21,234,,1.0,5811
22,170,,1.0,3353
23,178,,1.0,4695
24,219,,1.0,1302
25,165,,1.0,1560
26,174,,1.0,1583
27,205,,1.0,3229
28,204,,1.0,2959
29,199,,1.0,5113
30,226,,1.0,4836
31,145,,1.0,4122
32,185,,1.0,1677
33,221,,1.0,3868
34,209,,1.0,5016
35,217,,1.0,3891
36,241,,1.0,2104
37,249,,1.0,6123
38,178,,1.0,4969
39,239,,1.0,3217
40,244,,1.0,4249
41,233,,1.0,4133
42,214,,1.0,5525
43,218,,1.0,6745
44,215,,1.0,1842
45,220,,1.0,545
46,226,,1.0,3367
47,248,,1.0,3939
48,172,,1.0,3536
49,207,,1.0,3106
50,189,,1.0,6701
51,201,,1.0,3156
52,195,,1.0,5078
53,217,,1.0,4786
54,196,,1.0,2924
55,158,,1.0,2798
56,188,,1.0,4019
57,182,,1.0,4833
58,189,,1.0,3619
59,225,,1.0,6180
60,258,,1.0,6069
61,154,,1.0,4250
62,233,,1.0,6017
63,205,,1.0,4205
64,195,8.191268691398717,0.9998002,3394
65,233,11.363401418104177,0.9996004000000001,3289
66,164,5.335597209749913,0.9994006000000001,1344
67,210,3.0541115071630256,0.9992008000000001,4929
68,261,2.6563611938094485,0.9990010000000001,6755
69,172,2.574943503581846,0.9988012000000002,4355
70,222,2.485928065649493,0.9986014000000002,4162
71,186,3.898852749390487,0.9984016000000002,3760
72,191,2.251408927466013,0.9982018000000003,4651
73,198,2.1527435580552168,0.9980020000000003,5849
74,225,2.0669449897172023,0.9978022000000003,1157
75,162,2.0389602681649817,0.9976024000000003,4814
76,170,3.419619923539256,0.9974026000000004,2858
77,189,1.9524039417156378,0.9972028000000004,5807
78,195,1.8829126393080073,0.9970030000000004,3157
79,198,1.8644752238212239,0.9968032000000004,1312
80,138,1.8378173253389192,0.9966034000000005,316
81,178,3.0783616871423045,0.9964036000000005,2271
82,195,1.7912456497607991,0.9962038000000005,3354
83,168,1.7778173121211338,0.9960040000000006,4874
84,212,1.7299003917585234,0.9958042000000006,4029
85,137,1.7630805358529231,0.9956044000000006,2235
86,226,2.731787278598637,0.9954046000000006,3113
87,210,1.5971112041931368,0.9952048000000007,6198
88,205,1.622641058616847,0.9950050000000007,3734
89,191,1.5735542686912323,0.9948052000000007,1946
90,199,1.5575864610738668,0.9946054000000008,8461
91,186,2.665859810085689,0.9944056000000008,2381
92,166,1.5785689189254564,0.9942058000000008,2044
93,161,1.5720804017050491,0.9940060000000008,2552
94,159,1.5067327143882743,0.9938062000000009,4389
95,156,1.5356595378612277,0.9936064000000009,2491
96,214,2.484885864381066,0.9934066000000009,3284
97,151,1.4666593806728632,0.9932068000000009,6020
98,150,1.4034983505630583,0.993007000000001,2653
99,226,1.4621011334887661,0.992807200000001,7290
100,177,1.4571555760613473,0.992607400000001,5561
101,234,2.261030288593817,0.9924076000000011,4389
102,191,1.4220453147163947,0.9922078000000011,4081
103,217,1.383183742391652,0.9920080000000011,1953
104,170,1.3917879149612475,0.9918082000000011,5645
105,277,1.3723257372805662,0.9916084000000012,1479
106,197,2.1182207106033775,0.9914086000000012,2832
107,261,1.4173327550269597,0.9912088000000012,4938
108,181,1.3285982745518,0.9910090000000013,5100
109,236,1.3390069632501032,0.9908092000000013,7119
110,179,1.3490188728836494,0.9906094000000013,3434
111,195,2.0557846626260496,0.9904096000000013,5534
112,137,1.4260144790841927,0.9902098000000014,1815
113,198,1.3555614444676174,0.9900100000000014,4788
114,200,1.3040974854289447,0.9898102000000014,2159
115,203,1.334281967652609,0.9896104000000014,5773
116,239,2.1066174632346693,0.9894106000000015,2454
117,175,1.4113787109065834,0.9892108000000015,3960
118,198,1.3341910424155001,0.9890110000000015,2079
119,162,1.2866275648470344,0.9888112000000016,3611
120,242,1.3362488726599946,0.9886114000000016,2894
121,162,1.9587379572795969,0.9884116000000016,3740
122,169,1.3072371610697295,0.9882118000000016,3632
123,140,1.348663969179285,0.9880120000000017,1749
124,191,1.2749481521822401,0.9878122000000017,4340
125,211,1.3153529248263633,0.9876124000000017,4301
126,193,1.9699404227962807,0.9874126000000018,3953
127,182,1.3552273327550008,0.9872128000000018,3356
128,173,1.379850136418506,0.9870130000000018,4829
129,190,1.3038765243348338,0.9868132000000018,4094
130,155,1.3764044123242516,0.9866134000000019,506
131,175,2.0345934070347047,0.9864136000000019,3016
132,219,1.4814299215494293,0.9862138000000019,2809
133,195,1.2457818870988422,0.9860140000000019,4858
134,217,1.3233258541050537,0.985814200000002,4531
135,237,1.3015111553803111,0.985614400000002,4152
136,245,1.8916494758314795,0.985414600000002,5320
137,174,1.3837919074834724,0.9852148000000021,3928
138,267,1.3145753058614877,0.9850150000000021,2785
139,190,1.3176562580870868,0.9848152000000021,6348
140,263,1.306256729324238,0.9846154000000021,7323
141,183,1.8372070905074331,0.9844156000000022,4875
142,187,1.4102048085493823,0.9842158000000022,4300
143,210,1.3913320737293158,0.9840160000000022,4459
144,181,1.3064268500443912,0.9838162000000023,4224
145,186,1.3487243278533323,0.9836164000000023,5162
146,269,1.8221727533481047,0.9834166000000023,5002
147,211,1.4210458127608212,0.9832168000000023,5046
148,200,1.3279211285362573,0.9830170000000024,4037
149,195,1.3243583733699196,0.9828172000000024,6530
150,207,1.2730061191529876,0.9826174000000024,4452
151,259,1.8598040431971192,0.9824176000000024,2335
152,210,1.4050128691564503,0.9822178000000025,3130
153,231,1.3327764940581566,0.9820180000000025,1799
154,211,1.1630419357798565,0.9818182000000025,4553
155,226,1.2580581883324353,0.9816184000000026,5379
156,198,1.8834631651567721,0.9814186000000026,2732
157,245,1.3771786186567003,0.9812188000000026,4039
158,195,1.3004809085398379,0.9810190000000026,5228
159,125,1.4576986517058497,0.9808192000000027,4282
160,157,1.283454460502173,0.9806194000000027,3962
161,198,1.9005566403348861,0.9804196000000027,4141
162,205,1.445016808787469,0.9802198000000028,5679
163,131,1.2277985826599527,0.9800200000000028,3143
164,235,1.316009904629887,0.9798202000000028,1190
165,211,1.3080663843758045,0.9796204000000028,4958
166,177,1.8641945561164024,0.9794206000000029,5140
167,178,1.5153447361725736,0.9792208000000029,1461
168,132,1.3678175385409928,0.9790210000000029,827
169,163,1.3549217963353906,0.9788212000000029,3185
170,179,1.3553733298333397,0.978621400000003,3419
171,217,1.8366680558985589,0.978421600000003,3125
172,241,1.3855834370276623,0.978221800000003,4476
173,222,1.4011113810375189,0.9780220000000031,5003
174,232,1.3037100073629198,0.9778222000000031,3999
175,190,1.317891757642601,0.9776224000000031,2602
176,218,1.8666292835287224,0.9774226000000031,4727
177,174,1.6060169492295049,0.9772228000000032,4238
178,172,1.3895972504846559,0.9770230000000032,2751
179,214,1.3674794674224755,0.9768232000000032,3150
180,179,1.3087072767386392,0.9766234000000033,3390
181,197,1.903598730141038,0.9764236000000033,5691
182,195,1.5192646213770387,0.9762238000000033,3047
183,215,1.3839508955150006,0.9760240000000033,3353
184,142,1.3869187832259462,0.9758242000000034,3830
185,213,1.3793947677167897,0.9756244000000034,2911
186,257,1.77753297043529,0.9754246000000034,2752
187,245,1.5410377431989246,0.9752248000000034,3530
